,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
0,mjkroslin,,Lmfao so hand sanitizer is sold out in almost all of Denmark cus of corona virus panic. Bitchhhhh I’m stealing a ton from work today,0,0,0,1233374063487266818,https://twitter.com/mjkroslin/status/1233374063487266818,18733714,2020-02-28 12:51:06+00:00,Fri Feb 28 12:51:06 +0000 2020,,,,
1,sebdor,,"Messer bliver lukket og rejser frarådes: Vi mangler bare at sprede rygtet om at Corona-virus spredes gennem bilkabiner, så er den det bedste, der er sket for klimaet i årevis.",0,3,0,1233373019248250880,https://twitter.com/sebdor/status/1233373019248250880,23944317,2020-02-28 12:46:57+00:00,Fri Feb 28 12:46:57 +0000 2020,,,,
2,TraubertTom,,"Yo iría apostando 5 euritos a que la palabra del año para la @fundeu será ""coronavirus"".",0,0,0,1233371522070466562,https://twitter.com/TraubertTom/status/1233371522070466562,1232046022093934595,2020-02-28 12:41:00+00:00,Fri Feb 28 12:41:00 +0000 2020,,@Fundeu,,
3,Nandeette,,Solo falta que este año Incubus vuelva a cancelar por el corona virus ,0,0,0,1233371341799198720,https://twitter.com/Nandeette/status/1233371341799198720,49225988,2020-02-28 12:40:17+00:00,Fri Feb 28 12:40:17 +0000 2020,,,,
4,vaccinationDK,,Pressemeddelelse: Info om Corona Covid-19 virus samt behandlingsprotokol! Sendt til DK-pressen samt sundhedsstyrelsen. Mvh Vaccinationsforum. @kristeligt @ebbreaking @btdk @tv2danmark @dr2tv @DRBreaking @informeren @tv2newsdk @DRNyheder @berlingske @jyllandsposten @politiken,0,0,0,1233370948725878784,https://twitter.com/vaccinationDK/status/1233370948725878784,1126877508442443776,2020-02-28 12:38:43+00:00,Fri Feb 28 12:38:43 +0000 2020,,@kristeligt @ebbreaking @btdk @tv2danmark @dr2tv @DRBreaking @informeren @tv2newsdk @DRNyheder @berlingske @jyllandsposten @politiken,,
5,mariam_zakarian,mariam_zakarian,"Referring to the Corona virus, of course.",0,0,0,1233370655250427904,https://twitter.com/mariam_zakarian/status/1233370655250427904,28774126,2020-02-28 12:37:33+00:00,Fri Feb 28 12:37:33 +0000 2020,,,,
6,bolddk,,Coronavirus aflyser alle kampe i Schweiz https://www.bold.dk/fodbold/nyheder/coronavirus-aflyser-alle-kampe-i-schweiz/ #SuperLeague #ChallengeLeague,0,0,0,1233370018437640192,https://twitter.com/bolddk/status/1233370018437640192,102153075,2020-02-28 12:35:01+00:00,Fri Feb 28 12:35:01 +0000 2020,#SuperLeague #ChallengeLeague,,,https://www.bold.dk/fodbold/nyheder/coronavirus-aflyser-alle-kampe-i-schweiz/
7,mariam_zakarian,,"2002, China, SARS 2003, China, bird flu 2009, Mexico, swine flu 2012, Saudi Arabia, MERS (Corona) 2014, West Africa, Ebola 2015, Brazil, Zika-virus 2019, China, Corona virus #COVID2019 #FactsMatter",1,0,1,1233368505925488642,https://twitter.com/mariam_zakarian/status/1233368505925488642,28774126,2020-02-28 12:29:01+00:00,Fri Feb 28 12:29:01 +0000 2020,#COVID2019 #FactsMatter,,,
8,HerlevPortal,,Coronavirus https://ift.tt/2vddT7P,0,0,0,1233367821792489473,https://twitter.com/HerlevPortal/status/1233367821792489473,2589290384,2020-02-28 12:26:18+00:00,Fri Feb 28 12:26:18 +0000 2020,,,,https://ift.tt/2vddT7P
9,tipsbladet,,Schweiziske kampe udskydes af frygt for coronavirus ,0,0,0,1233367545757011971,https://twitter.com/tipsbladet/status/1233367545757011971,19444073,2020-02-28 12:25:12+00:00,Fri Feb 28 12:25:12 +0000 2020,,,,https://www.tipsbladet.dk/nyhed/generelle/schweiziske-kampe-udskydes-af-frygt-coronavirus
10,MaMoMVPY,,So do I: Ex-Fed Governor Warsh sees coordinated global central bank action soon in response to coronavirus ,1,1,0,1233364611015073793,https://twitter.com/MaMoMVPY/status/1233364611015073793,265386907,2020-02-28 12:13:32+00:00,Fri Feb 28 12:13:32 +0000 2020,,,,https://www.cnbc.com/2020/02/28/ex-fed-governor-warsh-sees-coordinated-global-central-bank-action-soon-in-response-to-coronavirus.html?__source=sharebar|twitter&par=sharebar
11,tv2newsdk,,Sundhedsstyrelsen advarer - coronavirus kan udvikle sig til pandemi http://nyheder.tv2.dk/2020-02-28-sundhedsstyrelsen-advarer-coronavirus-kan-udvikle-sig-til-pandemi?cid=_soco%3Atw%3A4%3Anews%3A%3A%3A,2,1,0,1233362602274635777,https://twitter.com/tv2newsdk/status/1233362602274635777,44584428,2020-02-28 12:05:33+00:00,Fri Feb 28 12:05:33 +0000 2020,,,,http://nyheder.tv2.dk/2020-02-28-sundhedsstyrelsen-advarer-coronavirus-kan-udvikle-sig-til-pandemi?cid=_soco%3Atw%3A4%3Anews%3A%3A%3A
12,orl_and,,"...just had a freelance/consultant request about a company interested in... and I quote ""European Manufacturing #coronavirus impact"" Oh!",0,2,0,1233360747045978112,https://twitter.com/orl_and/status/1233360747045978112,226874885,2020-02-28 11:58:11+00:00,Fri Feb 28 11:58:11 +0000 2020,#coronavirus,,,
13,stenvesterli,,"Hey economists, remember homo economicus, the rational person all your models depend on? Have a look at the #coronavirus scare and tell me how much rational decision-taking you detect...",0,1,0,1233358170791260163,https://twitter.com/stenvesterli/status/1233358170791260163,9771332,2020-02-28 11:47:57+00:00,Fri Feb 28 11:47:57 +0000 2020,#coronavirus,,,
14,Wirlander,,"Nu hvor det var så skide sjovt at lave det kiniske flag med Corona virus på, skal vi så ikke også lave en version af det danske flag også, HVA @DanskDf1995? For i ved... ytringsfrihed og sådan. Det er jo så sjovt!",0,20,4,1233354946986348546,https://twitter.com/Wirlander/status/1233354946986348546,195678379,2020-02-28 11:35:08+00:00,Fri Feb 28 11:35:08 +0000 2020,,@DanskDf1995,,
15,JonasPerssonNT,,Det här verkar ju vara normalt ? http://www.centerforhealthsecurity.org/event201/ #coronavirus,0,0,0,1233354060272717824,https://twitter.com/JonasPerssonNT/status/1233354060272717824,1117331836038995968,2020-02-28 11:31:37+00:00,Fri Feb 28 11:31:37 +0000 2020,#coronavirus,,,http://www.centerforhealthsecurity.org/event201/
16,TraubertTom,,"El cuñao del coronavirus diciendo ""anda, quita, que no sabes extinguir la humanidad"".",0,0,0,1233354030375743489,https://twitter.com/TraubertTom/status/1233354030375743489,1232046022093934595,2020-02-28 11:31:30+00:00,Fri Feb 28 11:31:30 +0000 2020,,,,
17,MLBarrett15,,"Norway now has four confirmed cases, but all came from infections abroad. Therefore, no ""ongoing spread"" inside the country, says public health institute/Folkehelseinstituttet #coronavirus ",5,2,0,1233353046257737729,https://twitter.com/MLBarrett15/status/1233353046257737729,1321970838,2020-02-28 11:27:35+00:00,Fri Feb 28 11:27:35 +0000 2020,#coronavirus,,,https://www.thelocal.no/20200228/norway-confirms-three-new-coronavirus-cases-all-from-infections-aborad
18,BroendbyPortal,,"Sådan forholder vi os til corona-virus i Brøndby Kommune Brøndby Kommune følger sundhedsmyndighedernes anvisninger nøje. Alle skoler, institutioner, plejehjem mv. fungerer som normalt. Læs her, hvordan vi forholder os til situationen. https://ift.tt/2T4M8ay",0,0,0,1233352703746637825,https://twitter.com/BroendbyPortal/status/1233352703746637825,2698531644,2020-02-28 11:26:13+00:00,Fri Feb 28 11:26:13 +0000 2020,,,,https://ift.tt/2T4M8ay
19,johannsenErling,RStoklund,Er du nervøs for at de har corona virus? Eller er du imod demokratiet? Eller accepterer du ikke personer med anden opfattelse end din? Så er det nok ikke nemt at bo i et land med en grundlov der giver ytringsfrihed!,0,0,0,1233350791869730816,https://twitter.com/johannsenErling/status/1233350791869730816,3390783003,2020-02-28 11:18:37+00:00,Fri Feb 28 11:18:37 +0000 2020,,,,
20,jonasholmdk,,"Endnu engang kæmpe respekt for den måde @SSTSundhed håndterer og kommunikerer om coronavirus på. Åbent, sagligt og ansvarligt ",0,11,1,1233350502370435072,https://twitter.com/jonasholmdk/status/1233350502370435072,16318039,2020-02-28 11:17:28+00:00,Fri Feb 28 11:17:28 +0000 2020,,@SSTSundhed,,
21,SSTSundhed,,"- vi er ikke overraskede over, at vi har fået det første tilfælde med smitte med #coronavirus i DK, siger ⁦@SSTbrostrom⁩",0,3,0,1233348095964057601,https://twitter.com/SSTSundhed/status/1233348095964057601,952875552632864768,2020-02-28 11:07:55+00:00,Fri Feb 28 11:07:55 +0000 2020,#coronavirus,@SSTbrostrom,,
22,SSTSundhed,,Pressekonference i ⁦@SSTSundhed⁩ - pæn interesse for nyt om #coronavirus #dkmedier,2,4,0,1233347440998338561,https://twitter.com/SSTSundhed/status/1233347440998338561,952875552632864768,2020-02-28 11:05:19+00:00,Fri Feb 28 11:05:19 +0000 2020,#coronavirus #dkmedier,@SSTSundhed,,
23,veloropa,,Gregaard fanget i Abu-Dhabi: Corona-virus special https://audioboom.com/posts/7517517-gregaard-fanget-i-abu-dhabi-corona-virus-special via @Audioboom,0,5,0,1233346956497444864,https://twitter.com/veloropa/status/1233346956497444864,620160167,2020-02-28 11:03:23+00:00,Fri Feb 28 11:03:23 +0000 2020,,@Audioboom,,https://audioboom.com/posts/7517517-gregaard-fanget-i-abu-dhabi-corona-virus-special
24,veloropa,,"Få et indblik i, hvordan det er at være lukket ind på et hotel i Abu Dhabi, når man egentlig helst bare vil køre cykelløb. #veloropapodcast special med dugfriskt @JonasGwilsly-interview om seneste udvikling i UAE Tour #coronavirus-sagen. ",1,7,0,1233346411372175360,https://twitter.com/veloropa/status/1233346411372175360,620160167,2020-02-28 11:01:13+00:00,Fri Feb 28 11:01:13 +0000 2020,#veloropapodcast #coronavirus,@JonasGwilsly,,https://soundcloud.com/veloropa/93-gregaard-fanget-i-abu-dhabi-corona-virus-special
25,Sonderholm,,Forskere: Vi har en vaccine mod coronavirus om få uger ,0,0,0,1233345387668410369,https://twitter.com/Sonderholm/status/1233345387668410369,1260209276,2020-02-28 10:57:09+00:00,Fri Feb 28 10:57:09 +0000 2020,,,,https://jp.dk/d?id=11972416
26,GraffTommy,,Novavax Begins Animal Testing for Coronavirus Vaccine Candidate #aktie #dkbiz ⁦@Sqwii⁩ - håbet lever. ,0,0,0,1233344574996783104,https://twitter.com/GraffTommy/status/1233344574996783104,514257592,2020-02-28 10:53:55+00:00,Fri Feb 28 10:53:55 +0000 2020,#aktie #dkbiz,@Sqwii,,https://www.thestreet.com/investing/novavax-coronavirus-vaccine-testing-animals?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
27,MonaEbdrup,,This new global situation with the Corona virus is NOT an invitation to be racist.,0,0,0,1233342495444099073,https://twitter.com/MonaEbdrup/status/1233342495444099073,76951053,2020-02-28 10:45:39+00:00,Fri Feb 28 10:45:39 +0000 2020,,,,
28,Bjorn_Sillemann,,"Dentsu Group, Japanese international advertising and public relations company largely invested in the Olympics, takes a huge beating on the stock market these days as risk of cancelled Olympics increase #Japan #Coronavirus ",1,0,0,1233338133992878082,https://twitter.com/Bjorn_Sillemann/status/1233338133992878082,740441643350917122,2020-02-28 10:28:20+00:00,Fri Feb 28 10:28:20 +0000 2020,#Japan #Coronavirus,,,
29,GlostrupPortal,,Sådan forholder vi os til coronavirus i Glostrup Kommune https://ift.tt/2T5YM94,0,0,0,1233337410173513728,https://twitter.com/GlostrupPortal/status/1233337410173513728,2611827456,2020-02-28 10:25:27+00:00,Fri Feb 28 10:25:27 +0000 2020,,,,https://ift.tt/2T5YM94
30,HeyHGC,,How to wear the protective mask...amuzing video with @WHO 's Dr. Seto Wing Hong #coronavirus #HealthTech #health https://www.instagram.com/tv/B9GqyYuh8O8/?igshid=140zbvg5fejk4,0,1,0,1233337322617397248,https://twitter.com/HeyHGC/status/1233337322617397248,29020815,2020-02-28 10:25:06+00:00,Fri Feb 28 10:25:06 +0000 2020,#coronavirus #HealthTech #health,@WHO,,https://www.instagram.com/tv/B9GqyYuh8O8/?igshid=140zbvg5fejk4
31,TaarnbyPortal,,"Kommunens sundhedsberedskab er aktiveret Som følge af at der også i Danmark er konstateret tilfælde af Corona-virus, har Tårnby Kommune aktiveret sundhedsberedskabet ",0,0,0,1233337141847040000,https://twitter.com/TaarnbyPortal/status/1233337141847040000,2700811825,2020-02-28 10:24:23+00:00,Fri Feb 28 10:24:23 +0000 2020,,,,https://ift.tt/3ciJghG
32,Sylien_,,"Apparently, the coronavirus is being prepared for really well in my nearby hospitals. The infectious diseases department is pretty damn ready with their hazmat suits, several wards have been cleared for quarantined sick, and all of this is really rather comforting. Professionals!",0,3,1,1233337076600496128,https://twitter.com/Sylien_/status/1233337076600496128,108104633,2020-02-28 10:24:08+00:00,Fri Feb 28 10:24:08 +0000 2020,,,,
33,tipsbladet,,Frygter coronavirus: Newcastle forbyder håndtryk #pldk,0,0,0,1233333560494428160,https://twitter.com/tipsbladet/status/1233333560494428160,19444073,2020-02-28 10:10:09+00:00,Fri Feb 28 10:10:09 +0000 2020,#pldk,,,https://www.tipsbladet.dk/nyhed/premier-league/frygter-coronavirus-newcastle-forbyder-haandtryk
34,graNzalesCSGO,,"Hej Danmarks Radio, Når I kan nævne, at man kan dø af Coronavirus, hvorfor nævner I så ikke, at man også kan dø af almindelig influenza? I skrev selv en artikel i år 2018, hvor 1.644 danskere døde af influenza. https://www.dr.dk/nyheder/indland/1644-danskere-doede-af-lang-og-haard-influenzasaeson?fbclid=IwAR28IUkHnnAo0iMS-bEIGnkuD94NqsDHM1EQxarCSAeGf9dWBfT8BV1s2rA Det virker som en skræmmekampagne... ",1,6,1,1233333510024433664,https://twitter.com/graNzalesCSGO/status/1233333510024433664,2829668272,2020-02-28 10:09:57+00:00,Fri Feb 28 10:09:57 +0000 2020,,,,https://www.dr.dk/nyheder/indland/1644-danskere-doede-af-lang-og-haard-influenzasaeson?fbclid=IwAR28IUkHnnAo0iMS-bEIGnkuD94NqsDHM1EQxarCSAeGf9dWBfT8BV1s2rA
35,rp_nielsen,WSJ,"HAHAHAHAA!! The west propably released the #corona virus into China in the first place, and certainly has been using it to stir paranoia and anti-china sentiments, to hit China financially, as a move in the #TradeWar.. Now it's comming back to bite their own asses.. #karma!!",0,0,1,1233332135899074565,https://twitter.com/rp_nielsen/status/1233332135899074565,848086621488631808,2020-02-28 10:04:30+00:00,Fri Feb 28 10:04:30 +0000 2020,#corona #TradeWar #karma,,,https://twitter.com/WSJ/status/1231950235016089600
36,kaldMlGmads,transceiverfreq,"Coronavirus tråd, sober og faktuel ",0,1,0,1233331898199498754,https://twitter.com/kaldMlGmads/status/1233331898199498754,808713787650048000,2020-02-28 10:03:33+00:00,Fri Feb 28 10:03:33 +0000 2020,,,,https://twitter.com/transceiverfreq/status/1224370982032433164
37,Bo_Sandberg,,"SO MUCH LAST YEAR: Midt i et blodrødt aktiemarked& #dkpol tiltag mod #coronavirus,der også vil bremse #dkbiz aktivitet,er det svært at holde fokus på 2019,men iflg.@DSTdk&amp; @DanskByggeri var #dkøko teflonøkonomien i 2019 bomstærk med+2,2% vækst,og nu fem år i træk med &gt;2% BNPvækst",2,3,0,1233326355577741312,https://twitter.com/Bo_Sandberg/status/1233326355577741312,2190468980,2020-02-28 09:41:31+00:00,Fri Feb 28 09:41:31 +0000 2020,#dkpol #coronavirus #dkbiz #dk,@DSTdk @DanskByggeri,,
38,JohnErikWagner,,På grund af coronavirus afskaffes håndtrykket i Danmark for statsborgerskab. Med Heil Danmark. ,0,0,0,1233321774210785280,https://twitter.com/JohnErikWagner/status/1233321774210785280,1910212650,2020-02-28 09:23:19+00:00,Fri Feb 28 09:23:19 +0000 2020,,,,
39,Tuffmann,,"Gode råd, hvis du er bekymret for at få coronavirus: Gør som ved forkølelse, undgå tæt kontakt med personer, som f.eks. hoster, og vask dine hænder. Med andre ord: Brug din sunde fornuft og lev livet som normalt - uden ansigtsmaske http://bit.ly/3chQB12 #dksundhed #dkvid",0,3,0,1233320985564241921,https://twitter.com/Tuffmann/status/1233320985564241921,2421755426,2020-02-28 09:20:11+00:00,Fri Feb 28 09:20:11 +0000 2020,#dksundhed #dkvid,,,http://bit.ly/3chQB12
40,frlass,,"Nu har jeg set et par borgerlige blæse til alarm, og opfordre regeringen til at forberede et økonomisk beredskab til at håndtere efterspørgselsvirkninger af Corona-virus, gerne med skattelettelser. De kan m. fordel læse @SteenBocian's leder i dag. #dkpol",0,6,2,1233319841777553408,https://twitter.com/frlass/status/1233319841777553408,479764159,2020-02-28 09:15:38+00:00,Fri Feb 28 09:15:38 +0000 2020,#dkpol,@SteenBocian,,https://borsen.dk/nyheder/opinion/artikel/1/396830/boersen_mener_corona-skraek_maa_ikke_lede_til_oekonomisk_panikpolitik.html?utm_source=forside&utm_campaign=nyhed_10
41,HakonRedder,,"Opdatering på antal døde fra Coronavirus: Fra 2810 i går til 2158 i dag. Harmonerer det med de enorme aktiefald ? Nej, men frygten for det ukendte hersker. Og meget går i stå. Nestlé, med 342.000 ansatte har stopper alle internationale flyvninger",0,3,0,1233318521532223488,https://twitter.com/HakonRedder/status/1233318521532223488,1490470273,2020-02-28 09:10:24+00:00,Fri Feb 28 09:10:24 +0000 2020,,,,
42,MichaelsMedie,,"Inden angrebene på #dkmedier's sensationalisering af coronavirus griber om sig, vil jeg blot tilføje, at @KarinWahlJ, der forsker i den internationale dækning af corona, i @MediaWatchTweet's nye podcast 'Q&amp;co.' kalder den danske dækning ""nøgtern."" Det var det hele. God fredag!",0,2,0,1233317344631541760,https://twitter.com/MichaelsMedie/status/1233317344631541760,1376844930,2020-02-28 09:05:43+00:00,Fri Feb 28 09:05:43 +0000 2020,#dkmedier,@KarinWahlJ @MediaWatchTweet,,
43,asbjoernwilliam,Henningkp,"Hej Henning, to spørgsmål: Hvad er klimatosseriet? Og hvad ville gevinsten være, hvis det blev bekæmpet?",0,1,0,1233315785814237184,https://twitter.com/asbjoernwilliam/status/1233315785814237184,1344921379,2020-02-28 08:59:31+00:00,Fri Feb 28 08:59:31 +0000 2020,,,,
44,DanishFurryGame,,TV Anime The Misfit of Demon King Academy Delays Premiere from April to July Due to Coronavirus http://j.mp/387hHF5,1,0,0,1233315672316268546,https://twitter.com/DanishFurryGame/status/1233315672316268546,3199216792,2020-02-28 08:59:04+00:00,Fri Feb 28 08:59:04 +0000 2020,,,,http://j.mp/387hHF5
45,hamrahshowaziz,,#Iran Can’t Be Trusted to Deal With #Coronavirus https://bloomberg.com/opinion/articles/2020-02-27/iran-can-t-be-trusted-to-contain-the-coronavirus,0,0,0,1233313606151917568,https://twitter.com/hamrahshowaziz/status/1233313606151917568,1166724223,2020-02-28 08:50:52+00:00,Fri Feb 28 08:50:52 +0000 2020,#Iran #Coronavirus,,,https://bloomberg.com/opinion/articles/2020-02-27/iran-can-t-be-trusted-to-contain-the-coronavirus
46,hamrahshowaziz,,"@AlArabiya_Eng #NewZealand confirms its first #coronavirus case, saying a recent arrival from #Iran who traveled to #Auckland via #Bali had tested positive.#COVID_19 https://english.alarabiya.net/en/News/world/2020/02/28/New-Zealand-confirms-first-case-of-deadly-coronavirus-in-traveler-from-Iran-.html",0,0,0,1233313563101597696,https://twitter.com/hamrahshowaziz/status/1233313563101597696,1166724223,2020-02-28 08:50:41+00:00,Fri Feb 28 08:50:41 +0000 2020,#NewZealand #coronavirus #Iran #Auckland #Bali #COVID_19,@AlArabiya_Eng,,https://english.alarabiya.net/en/News/world/2020/02/28/New-Zealand-confirms-first-case-of-deadly-coronavirus-in-traveler-from-Iran-.html
47,hamrahshowaziz,,New Zealand limits entry of travelers from #Iran on #coronavirus fears ,0,0,0,1233313512132431877,https://twitter.com/hamrahshowaziz/status/1233313512132431877,1166724223,2020-02-28 08:50:29+00:00,Fri Feb 28 08:50:29 +0000 2020,#Iran #coronavirus,,,https://reut.rs/3chYQtW
48,hamrahshowaziz,,"A.Schallenberg @MFA_Austria, who visited #Iran last week to visit Rouhani due to #CoronaVirus symptoms at a quarantined hospital! do not trade W/The mullahs, look how they treat Iranian ppl #CoronavirusIran&amp;Natural Disasters @SecPompeo @JosepBorrellF",0,1,0,1233313434755792897,https://twitter.com/hamrahshowaziz/status/1233313434755792897,1166724223,2020-02-28 08:50:11+00:00,Fri Feb 28 08:50:11 +0000 2020,#Iran #CoronaVirus #CoronavirusIran,@MFA_Austria @SecPompeo @JosepBorrellF,,https://heute.at/s/corona-verdacht-bei-schallenberg-delegation-44931807
49,hamrahshowaziz,,#Iran #coronavirus گزارشی ازویروس کرونا و گسترش آن در #ایران: لس آنجلس تایمز:‌ایران به نقطة کانونی #ویروس‌کرونا درخاورمیانه تبدیل شده است عربستان سعودی برای جلوگیری از شیوع کرونا،حج عمره رالغو کرد،‌اما رژیم آخوندها به هیچ اقدام جدی پیشگیرانه دست نمی زند,0,0,0,1233313346755137536,https://twitter.com/hamrahshowaziz/status/1233313346755137536,1166724223,2020-02-28 08:49:50+00:00,Fri Feb 28 08:49:50 +0000 2020,#Iran #coronavirus,,,
50,hamrahshowaziz,,"#Urgent action to #FreeAllProtesters The int'l comnty. faces an outlawed rgm in #Iran that abides by no principle except to maintain its rule. #Coronavirus spread in Iranian prisons,Inhumane action to eliminate opponents.@WHO @antonioguterres @MBachelet",0,0,0,1233313204325027845,https://twitter.com/hamrahshowaziz/status/1233313204325027845,1166724223,2020-02-28 08:49:16+00:00,Fri Feb 28 08:49:16 +0000 2020,#Urgent #FreeAllProtesters #Iran #Coronavirus,@WHO @antonioguterres @mbachelet,,
51,hamrahshowaziz,,"#Iran said on Thursday its death toll from #coronavirus had risen to 26 and the total number of infected people now stood at 245, the highest number of deaths from the virus outside China. #CoronaVirusUpdates #coronavirusIran",0,1,0,1233312938997493760,https://twitter.com/hamrahshowaziz/status/1233312938997493760,1166724223,2020-02-28 08:48:13+00:00,Fri Feb 28 08:48:13 +0000 2020,#Iran #coronavirus #CoronaVirusUpdates #coronavirusIran,,,https://reut.rs/3abrDyM
